小鹏飞| 大豪科技|董秘你好，请问在你退休或者公司退市之前大豪还会提交重组申请恢复报告吗?|4小时前|感谢关注。|4小时前
许大头| 大豪科技|请教董秘，在个股画像中，近期又出现了白酒行业，我所疑惑的是，为何有时取消白酒行业？|2022年02月21日 10:46|尊敬的投资者您好，请您咨询“画像”软件的研发者或者提供者。感谢关注|2022年02月21日 16:01
知行合一| 大豪科技|董秘，请问公司涉及到数据中心的建设，是否能应用于东数西算|2022年02月21日 12:52|尊敬的投资者您好，公司无数据中心业务。|2022年02月21日 16:00
大富大贵| 大豪科技|贵公司一直再推动重组红星二锅头、北冰洋汽水和义利食品等一轻控股股东资产事项努力工作，投资者和各位股东是非常认可的，既可以实现国有资产保值升值也可以做大做强上市公司，实现多方共赢。如有符合披露规定的好消息，希望及时公告|2022年02月21日 15:54|尊敬的投资者您好，公司会严格按照法律法规的要求及时披露重大信息。感谢关注|2022年02月21日 15:59
大富大贵| 大豪科技|董秘您说贵公司再准备恢复审查资料，按照相关规定您是可以确认的说再准备的，也可以提交证监会当日发公告的，那再下一步按规定是否是准备联合中介更新财务数据和审计报告，来推动重组工作呢|2022年02月21日 15:26|尊敬的投资者您好，感谢您的建议。|2022年02月21日 15:59
柏拉图1| 大豪科技|本次重组聘请的律师事务所北京市天元律师事务所因其为其他公司提供的法律服务而被中国证监会立案调查，目前尚未最终结案。意思是要等天元律师事务所与其他公司结案后大豪才能继续审核？|2022年02月21日 10:08|尊敬的投资者，您好，《中国证券监督管理委员会行政许可实施程序规定》第二十三条规定：“……因本规定第二十二条第一款第（三）、（四）项规定情形中止审查的，证券公司、证券服务机构应当指派与被调查事项无关的人员，对该机构或者有关人员为被中止审查的申请事项制作、出具的申请材料进行复核。按要求提交复核报告，并对申请事项符合行政许可法定条件、标准，所制作、出具的文件不存在虚假记载、误导性陈述或者重大遗漏发表明确复核意见……”无论天元是否结案，公司均需按照前述规定准备复核报告和相关资料，感谢关注。|2022年02月21日 11:15
大豪DMSQJ| 大豪科技|董秘你好，恭喜大豪科技被纳入富时罗素指数，请问贵公司对此有何感想？|2022年02月21日 09:27|尊敬的投资者，您好，富时罗素国际指数是英国富时指数公司旗下跟踪全球新兴市场指标的股指，在全球资本市场拥有较强的影响力。纳入该指数表明资本市场对大豪科技过经营业绩表现和未来持续发展的认可。公司将继续开拓进取、开展产品创新和产品线延伸，持续走在行业发展的前端，做强公司实力推动公司健康发展，以良好的经营业绩回报广大投资者。 感谢您的关注。|2022年02月21日 11:12
大豪DMSQJ| 大豪科技|董秘你好，公司的互动以后都会积攒到一块儿集中回复吗？|2022年02月21日 09:09|尊敬的投资者，您好，公司会按照上交所要求回复投资者问题，感谢关注。|2022年02月21日 11:10
大豪DMSQJ| 大豪科技|董秘你好，这周就是2月下旬了，重组中止已经半年了，请问是否已经胎死腹中？|2022年02月21日 09:09|尊敬的投资者，您好，公司目前无应披露而未披露信息，感谢关注。|2022年02月21日 11:10
大豪董秘真可爱| 大豪科技|请问中外合资的北京百事是否会从本次重组标的中剔除，百事和北冰洋不是竞争关系吗？专注扶持国产饮料是否更合适?|2022年02月18日 16:59|尊敬的投资者，标的调整请参见2021年6月份公告。|2022年02月18日 17:08
Zhouyu2031| 大豪科技|请问贵公司办事效率极低，最近有招工计划么？|2022年02月18日 16:16|尊敬的投资者您好，招聘信息请参见公司网站。|2022年02月18日 16:40
